employee_id,first_name,last_name,date_of_birth,gender,ethnicity,job_title,department,hire_date,termination_date,salary,hourly_rate,overtime_rate,pay_frequency,tax_withholding,ssn,address,city,state,zip_code,phone_number,emergency_contact_name,emergency_contact_phone,marital_status,spouse_name,number_of_dependents,education_level,years_of_experience,performance_rating,benefits_eligible,union_member
29,Ira,Newby,8/11/1968,Two-Spirit,Hispanic,VP Quality Control,Marketing,2/7/2018,1/31/2000,56504.08,50.31,99.05,Bi-weekly,0.68,166-69-4286,44007 Corscot Lane,Ait Ali,15,15103,546-294-1289,Ira Newby,968-419-5212,Widowed,Ira Newby,7,Bachelor's Degree,48,3.55,true,false
30,Garner,Wehner,10/1/1991,Transgender Person,White,Help Desk Operator,Research and Development,1/31/2008,9/28/2020,137872.35,80.61,87.7,Bi-weekly,0.91,625-59-9951,73847 Mifflin Hill,Ludwigshafen am Rhein,RP,67067,955-921-4599,Garner Wehner,757-395-9166,Widowed,Garner Wehner,7,Doctorate,40,1.58,false,true
31,Abe,Cashell,1/24/1996,Non-binary,Black,Software Test Engineer III,Engineering,5/24/2004,3/4/2018,168713.0,43.04,91.84,Weekly,0.69,802-39-3262,1 Comanche Trail,Jāwā,,,112-374-0763,Abe Cashell,699-221-5853,Single,Abe Cashell,2,Bachelor's Degree,7,1.65,true,true
32,Batholomew,Jahnig,10/10/1999,Trans Female,Hispanic,Design Engineer,Services,5/15/2019,7/5/2019,57161.17,26.66,71.06,Weekly,0.04,382-63-8287,06 Thierer Junction,Sacotes,11,2725-511,752-849-1932,Batholomew Jahnig,525-152-0565,Widowed,Batholomew Jahnig,1,Bachelor's Degree,30,3.39,true,true
33,Marcelle,Canellas,1/27/1959,Transgender Woman,Hispanic,Structural Analysis Engineer,Business Development,11/20/2017,12/24/2005,110520.28,12.77,68.63,Weekly,0.99,721-25-9322,2631 Laurel Parkway,Yanbei,,,499-775-3469,Marcelle Canellas,416-987-7900,Divorced,Marcelle Canellas,5,High School,30,3.79,true,false
34,Dionis,McCathy,2/22/1962,Trans Man,Black,Help Desk Technician,Marketing,5/18/2006,9/17/2018,59966.19,60.58,18.17,Bi-weekly,0.51,689-29-6009,7 Sommers Junction,Papeete,,,187-168-9748,Dionis McCathy,894-596-5075,Single,Dionis McCathy,1,High School,28,2.4,true,true
35,Naoma,Tydeman,9/7/1984,Agender,Asian,Systems Administrator III,Sales,8/3/2010,11/5/2016,159238.46,61.5,83.17,Monthly,0.03,567-87-0978,833 Hauk Hill,Jishi,,,943-234-9733,Naoma Tydeman,790-575-7988,Married,Naoma Tydeman,2,High School,22,3.34,false,false
36,Belvia,Dorset,8/20/1972,Transsexual Woman,Hispanic,Clinical Specialist,Support,11/20/2018,3/22/2013,117383.16,60.31,11.27,Weekly,0.99,414-01-7104,72189 Victoria Junction,Manhuaçu,,36900-000,741-372-1199,Belvia Dorset,605-501-5091,Widowed,Belvia Dorset,5,Bachelor's Degree,24,4.88,false,false
37,Marshall,Fonso,2/14/1974,Transgender Man,Black,Internal Auditor,Sales,11/9/2011,4/26/2014,122426.18,70.87,87.76,Weekly,0.23,412-63-0566,63 Michigan Trail,Shatian,,,354-276-9672,Marshall Fonso,550-822-2250,Divorced,Marshall Fonso,7,Master's Degree,27,4.16,true,false
38,Deeyn,Piggford,10/2/1961,Neutrois,Hispanic,Speech Pathologist,Business Development,1/11/2009,1/9/2003,88724.4,76.17,93.75,Bi-weekly,0.35,425-43-2693,696 Dottie Junction,Longping,,,219-209-7319,Deeyn Piggford,389-368-3095,Widowed,Deeyn Piggford,10,Doctorate,15,3.69,true,false
39,Carissa,Graber,2/6/1980,Pangender,White,Tax Accountant,Support,3/10/2009,12/30/2006,22120.57,68.5,59.26,Bi-weekly,0.38,138-64-0016,4792 Morrow Circle,Dārayyā,,,310-472-2136,Carissa Graber,452-486-6168,Single,Carissa Graber,2,High School,29,3.4,true,true
40,Ralph,Cafferty,4/15/1950,Cisgender Male,Black,Software Engineer II,Accounting,2/1/2003,1/28/2007,114517.27,15.21,23.2,Bi-weekly,0.91,421-19-7424,360 Buena Vista Pass,Carolina,72,00987,365-303-3276,Ralph Cafferty,685-695-7904,Single,Ralph Cafferty,2,Doctorate,46,4.18,true,true
41,Connor,Baiss,6/15/1960,Cis Male,Hispanic,Recruiter,Sales,8/28/2021,7/5/2003,139469.69,94.14,39.11,Bi-weekly,0.25,761-09-5362,8254 Briar Crest Hill,Daulatpur,,67190,986-562-7980,Connor Baiss,940-380-9778,Widowed,Connor Baiss,5,Bachelor's Degree,49,1.14,true,true
42,Belia,Hassur,7/3/1988,Bigender,Hispanic,Chemical Engineer,Engineering,7/17/2020,7/6/2005,124024.87,18.67,30.0,Monthly,0.85,292-99-4782,113 Golden Leaf Drive,Santai,,,434-512-4730,Belia Hassur,381-747-2353,Divorced,Belia Hassur,3,Associate's Degree,2,1.31,true,true
43,Christen,Ivakhin,6/14/1997,Non-binary,Black,Senior Developer,Engineering,5/3/2016,9/19/2021,73494.55,16.43,55.63,Monthly,0.19,182-24-0887,52021 Valley Edge Point,Cabo Frio,,28900-000,529-779-4745,Christen Ivakhin,587-953-9008,Widowed,Christen Ivakhin,2,Bachelor's Degree,45,2.61,true,false
44,Jerrie,Royste,11/7/1955,Gender Questioning,Black,VP Accounting,Engineering,12/28/2003,6/23/2001,25960.21,46.98,21.9,Weekly,0.75,212-49-2437,6687 Prairieview Point,San Francisco,,8501,743-267-7132,Jerrie Royste,958-496-8180,Widowed,Jerrie Royste,2,Associate's Degree,46,2.24,false,true
45,Mylo,Work,3/25/2000,Female to Male,Black,Junior Executive,Research and Development,3/10/2003,12/23/2002,172782.44,90.79,80.08,Bi-weekly,0.14,163-29-9405,578 Steensland Alley,Lagodekhi,,,169-149-1786,Mylo Work,261-735-5832,Widowed,Mylo Work,5,Bachelor's Degree,4,1.62,true,true
46,Dinah,Sarfat,11/22/1994,FTM,White,Research Associate,Sales,5/27/2018,6/7/2021,36678.14,51.16,94.52,Monthly,0.29,754-85-7593,5005 Luster Plaza,Pervomayskiy,,393710,471-699-5019,Dinah Sarfat,462-918-6051,Divorced,Dinah Sarfat,5,Bachelor's Degree,25,4.63,false,true
47,Benedikt,Stickel,9/5/1988,Cis Female,Other,Software Engineer III,Support,8/27/2018,11/13/2002,125924.0,33.84,97.38,Monthly,0.33,485-99-5846,0359 Mifflin Terrace,Tengrela,,,536-415-1044,Benedikt Stickel,710-381-1675,Widowed,Benedikt Stickel,1,Doctorate,37,2.72,true,true
48,Dulci,Causby,10/12/1996,Transgender Person,Black,Data Coordinator,Business Development,9/18/2011,5/21/2021,109616.75,44.4,11.77,Weekly,0.5,167-62-3287,2 Atwood Plaza,Portão,,93180-000,726-193-6969,Dulci Causby,720-120-2803,Widowed,Dulci Causby,3,Master's Degree,18,1.17,true,true
49,Gert,Wines,6/23/1970,Androgyne,White,Dental Hygienist,Product Management,10/2/2019,8/22/2016,54784.37,53.18,41.3,Weekly,0.73,526-87-4356,02 Burrows Pass,Getulio,,1175,582-564-9042,Gert Wines,983-611-5536,Widowed,Gert Wines,5,Doctorate,7,2.13,false,false
50,Etheline,Crichmere,10/26/1986,Agender,Hispanic,Legal Assistant,Sales,3/21/2007,3/19/2017,159298.32,15.52,10.09,Monthly,0.16,104-32-9500,1 Little Fleur Avenue,Ngujuran,,,730-482-8515,Etheline Crichmere,906-961-1287,Divorced,Etheline Crichmere,2,Master's Degree,5,4.73,false,false
51,Jaquenette,Kirkbride,10/5/1976,Cisgender Man,Black,Web Developer II,Product Management,9/17/2019,12/13/2020,30671.38,81.99,82.63,Monthly,0.43,637-21-1706,51 Superior Street,Le Pontet,B8,84964 CEDEX,449-804-2165,Jaquenette Kirkbride,193-697-8723,Single,Jaquenette Kirkbride,7,Bachelor's Degree,38,1.68,true,false
52,Minnie,Botha,5/29/1955,Transsexual Person,Asian,Safety Technician III,Services,3/8/2006,2/15/2005,33158.24,52.81,77.5,Monthly,0.19,327-53-9548,3 Hayes Drive,Bhamdoûn el Mhatta,,,300-986-7274,Minnie Botha,319-681-1088,Divorced,Minnie Botha,1,High School,14,4.54,true,true
53,Arnaldo,Cail,1/30/1959,Transmasculine,Other,Clinical Specialist,Marketing,7/8/2015,7/17/2007,43913.18,74.22,78.84,Monthly,0.61,367-72-6702,63 Sheridan Terrace,Ballina,,F26,298-674-4367,Arnaldo Cail,170-625-4699,Widowed,Arnaldo Cail,3,Associate's Degree,7,4.29,true,false
54,Aindrea,Hasnney,5/11/1966,Cis,Asian,Staff Accountant II,Research and Development,7/25/2000,10/13/2015,56649.93,88.13,22.56,Monthly,0.18,744-76-4915,6367 Debs Circle,Kallinge,K,372 53,618-441-1722,Aindrea Hasnney,828-882-7442,Divorced,Aindrea Hasnney,6,Doctorate,42,3.93,false,true
55,Aluin,Rechert,11/25/1959,Cis Female,Other,Operator,Services,10/5/2002,6/26/2002,42805.52,36.88,81.31,Bi-weekly,0.47,794-96-2010,7 Moose Junction,Muara Dua,,,736-707-2876,Aluin Rechert,915-507-7598,Married,Aluin Rechert,5,High School,4,3.36,false,false
56,Tess,Twigger,6/28/1998,Transsexual,Hispanic,Assistant Media Planner,Human Resources,4/5/2002,11/14/2001,104987.87,74.03,79.22,Bi-weekly,0.2,221-62-0836,7566 Rowland Crossing,Ichinohe,,675-0068,542-715-2818,Tess Twigger,548-933-4766,Widowed,Tess Twigger,5,High School,47,2.26,false,false
57,Maddy,Dady,1/6/1980,Neither,Hispanic,Marketing Assistant,Business Development,8/28/2011,5/13/2019,170009.21,12.56,62.33,Bi-weekly,0.83,846-77-1662,75522 Sachtjen Point,Verkhnyaya Toyma,,169510,799-578-7819,Maddy Dady,561-128-2318,Widowed,Maddy Dady,5,Bachelor's Degree,48,3.97,true,false
58,Kassia,Loraine,2/7/1982,Transfeminine,Hispanic,Health Coach III,Services,11/9/2014,6/12/2012,91062.02,69.86,99.55,Bi-weekly,0.89,259-83-3222,30 Haas Lane,Honolulu,HI,96805,808-320-5541,Kassia Loraine,840-204-1399,Single,Kassia Loraine,5,High School,31,4.58,true,true
59,Orson,Claremont,7/24/1963,Cis,Black,Research Nurse,Sales,8/24/2017,9/4/2013,120845.38,17.48,50.03,Monthly,0.11,202-11-9239,40 Knutson Crossing,Kuala Terengganu,TRG,20608,824-556-0152,Orson Claremont,883-703-2910,Single,Orson Claremont,7,Doctorate,5,2.34,true,false
60,Aubrette,Pothergill,12/18/1993,Cis Male,Asian,Operator,Human Resources,12/8/2019,5/12/2021,171046.18,51.85,73.89,Bi-weekly,0.57,730-95-4429,50 Fairfield Avenue,Kuala Terengganu,TRG,20551,807-571-3554,Aubrette Pothergill,989-355-7894,Single,Aubrette Pothergill,9,Doctorate,37,2.95,false,false
61,Marijn,Gisbye,10/17/1995,Cisgender Woman,Hispanic,Senior Sales Associate,Accounting,7/26/2021,6/13/2015,70685.91,94.46,24.81,Monthly,0.31,815-33-8692,5 Stuart Center,Mỹ Thọ,,,547-235-7628,Marijn Gisbye,232-833-4171,Married,Marijn Gisbye,5,Associate's Degree,2,3.96,false,true
62,Holmes,Mathiassen,7/1/1963,Trans Person,Other,VP Sales,Engineering,8/21/2013,9/1/2008,116811.86,43.94,31.87,Weekly,0.45,552-33-8892,49742 Manitowish Center,Pueblo,CO,81010,719-404-4095,Holmes Mathiassen,713-462-2280,Single,Holmes Mathiassen,8,Master's Degree,40,4.8,true,true
63,Gipsy,Gallaher,8/5/1962,Trans Male,White,Civil Engineer,Support,9/22/2004,3/4/2012,35073.71,99.76,89.09,Weekly,0.54,230-82-8405,0294 Pierstorff Way,Mouzáki,,,880-712-4440,Gipsy Gallaher,868-239-8425,Widowed,Gipsy Gallaher,4,High School,44,4.66,true,false
64,Shurlocke,Gauvin,4/14/1953,Cis Man,White,Business Systems Development Analyst,Product Management,4/29/2017,5/23/2019,31791.24,96.78,76.85,Monthly,0.33,262-28-9423,1844 Bunting Parkway,Estancia,,5017,226-207-6450,Shurlocke Gauvin,248-215-2225,Widowed,Shurlocke Gauvin,10,High School,28,2.26,false,false
65,Luciano,Aylmer,11/14/1975,Trans Man,Asian,Design Engineer,Marketing,3/21/2016,5/2/2009,109545.75,28.75,24.24,Weekly,0.23,739-35-1036,637 Hintze Alley,Dyurtyuli,,452320,137-491-5174,Luciano Aylmer,876-607-1006,Married,Luciano Aylmer,2,Master's Degree,18,2.26,true,false
66,Ivar,Baynon,9/27/1976,Cisgender Woman,Other,Quality Engineer,Support,5/2/2001,12/22/2018,42893.04,59.05,53.34,Bi-weekly,0.36,359-23-9914,70816 Oxford Hill,San Ramón de la Nueva Orán,,4530,180-793-2993,Ivar Baynon,746-469-5724,Single,Ivar Baynon,3,Doctorate,26,1.31,false,false
67,Beatrisa,Thornton,9/7/1978,Transfeminine,Black,Nuclear Power Engineer,Services,11/13/2000,1/19/2004,52309.57,37.98,25.34,Monthly,0.7,330-82-0876,212 Chive Street,Chigan,,,991-670-1587,Beatrisa Thornton,199-980-6374,Married,Beatrisa Thornton,4,Associate's Degree,26,2.33,true,false
68,Nonah,Haberjam,11/8/1983,Male to Female,Other,Junior Executive,Support,3/22/2004,9/28/2019,64815.64,70.0,72.93,Monthly,0.93,824-51-3313,28 Westend Junction,Alor Setar,KDH,05460,833-796-0224,Nonah Haberjam,379-606-4310,Single,Nonah Haberjam,2,Master's Degree,25,2.36,true,false
69,Abby,Pimley,10/27/2002,Trans,Hispanic,Assistant Professor,Sales,1/1/2011,5/13/2011,102727.14,52.05,97.48,Monthly,0.57,743-54-7465,14 Acker Pass,Anka,,,846-733-7940,Abby Pimley,208-496-8125,Married,Abby Pimley,10,Associate's Degree,41,1.41,false,false
70,Drusilla,Leschelle,9/29/1991,Cisgender Male,Hispanic,Assistant Manager,Marketing,5/6/2009,9/20/2015,44915.48,82.41,25.8,Weekly,0.46,250-25-5415,8858 6th Avenue,Kramat,,,154-384-0627,Drusilla Leschelle,439-539-0925,Widowed,Drusilla Leschelle,8,Bachelor's Degree,25,4.06,true,true
71,Timotheus,Yendall,8/29/1957,Transgender Woman,White,Structural Analysis Engineer,Marketing,2/2/2019,6/12/2013,72961.19,44.45,37.87,Weekly,0.49,508-64-4697,9 Anzinger Junction,Yanino Vtoroye,,188680,778-889-7167,Timotheus Yendall,762-719-8869,Divorced,Timotheus Yendall,0,High School,21,4.23,false,false
72,Yvor,Leggs,7/29/1955,Cisgender Woman,White,Assistant Professor,Human Resources,6/3/2015,6/2/2004,88214.43,38.01,47.39,Weekly,0.57,213-32-8723,4 Express Lane,Krasnotorka,,,739-797-5012,Yvor Leggs,184-489-1997,Single,Yvor Leggs,7,High School,28,3.0,true,true
73,Kliment,Haslegrave,3/17/1976,Trans Female,Other,Software Consultant,Accounting,8/8/2000,6/25/2015,193810.64,89.28,58.72,Monthly,0.78,306-49-4298,38240 Trailsway Pass,Itororó,,45710-000,950-833-6529,Kliment Haslegrave,668-532-7220,Widowed,Kliment Haslegrave,10,High School,22,2.69,true,false
74,Jaime,Harragin,3/28/1961,Transmasculine,White,VP Marketing,Training,6/25/2013,8/4/2021,170797.13,78.54,21.59,Monthly,0.21,471-25-4319,953 Rutledge Circle,Lungmar,,,854-721-1252,Jaime Harragin,562-866-3323,Single,Jaime Harragin,5,Associate's Degree,37,4.76,false,true
75,Halsey,Kurdani,12/31/1969,Transsexual Woman,Black,Health Coach II,Human Resources,5/10/2005,4/3/2017,104285.87,98.02,76.12,Bi-weekly,0.68,126-21-7522,5 Pawling Junction,Fuyang,,,557-617-9393,Halsey Kurdani,449-833-2786,Single,Halsey Kurdani,6,Bachelor's Degree,47,2.26,true,false
76,Maiga,Kunc,8/21/1986,Cis Man,White,VP Sales,Product Management,10/13/2017,11/5/2012,159844.44,46.74,13.82,Bi-weekly,0.95,155-08-7248,6717 Kedzie Lane,Botevgrad,,2162,282-700-1531,Maiga Kunc,168-272-5215,Single,Maiga Kunc,7,High School,39,4.87,false,true
77,Prudi,Harkess,7/16/1954,Androgyne,White,Associate Professor,Training,12/21/2007,9/25/2018,193170.66,78.1,48.16,Bi-weekly,0.8,839-46-9402,98250 Clemons Avenue,Borlänge,W,781 87,488-874-2702,Prudi Harkess,961-225-8228,Divorced,Prudi Harkess,10,Master's Degree,37,3.45,false,true
78,Agnola,Schimke,8/12/1950,Cisgender,Hispanic,Staff Scientist,Business Development,3/5/2004,11/11/2000,171048.89,69.77,26.94,Bi-weekly,0.17,744-75-6078,4 Sheridan Alley,Galle,,80000,837-650-2604,Agnola Schimke,630-767-9530,Single,Agnola Schimke,2,Master's Degree,24,2.72,true,true
79,Katya,Korfmann,7/27/1999,Cisgender Woman,Black,Marketing Assistant,Services,6/5/2021,2/10/2017,53729.43,56.24,21.5,Bi-weekly,0.43,266-35-5621,12519 Tennessee Plaza,Goz Beïda,,,328-840-7563,Katya Korfmann,753-652-4125,Widowed,Katya Korfmann,6,Master's Degree,44,4.15,true,false
80,Carie,Quesne,2/29/1952,Trans Person,Other,Nurse,Product Management,12/4/2002,7/22/2009,74000.28,74.76,92.96,Monthly,0.11,485-56-2030,50251 Eastlawn Junction,Phu Sang,,63120,796-932-4113,Carie Quesne,210-823-0242,Widowed,Carie Quesne,2,Master's Degree,4,4.59,false,false
81,Kari,Wormell,9/12/1980,Other,Other,Geologist IV,Services,3/26/2015,5/25/2003,78366.19,78.74,72.28,Weekly,0.06,400-04-6727,80 Golf Trail,Göteborg,O,402 57,481-318-3579,Kari Wormell,331-325-8512,Widowed,Kari Wormell,1,Bachelor's Degree,22,4.45,false,true
82,Kerwinn,Luchelli,2/24/1983,Cisgender Male,Hispanic,Legal Assistant,Research and Development,12/1/2013,5/19/2019,94701.82,71.94,24.31,Monthly,0.12,714-35-3683,65932 6th Center,Mamoudzou,,97680,580-772-3364,Kerwinn Luchelli,900-609-7602,Widowed,Kerwinn Luchelli,2,Master's Degree,45,1.86,true,true
83,Katrine,Dingle,7/28/1975,FTM,Hispanic,Editor,Accounting,4/18/2019,8/20/2014,36053.45,76.78,62.99,Monthly,0.85,436-04-1318,28681 Golden Leaf Terrace,Dazhan,,,263-385-4746,Katrine Dingle,580-388-6196,Married,Katrine Dingle,4,High School,41,2.5,false,true
